"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 12 13:00:34 IST 2022","Sat Nov 12 13:00:35 IST 2022","806","","Assertions Explicit Assertions","","Assertions Explicit Assertions","expect - make an assertion about a specified subject","expect - make an assertion about a specified subject",""
"passed","Sat Nov 12 13:02:10 IST 2022","Sat Nov 12 13:02:10 IST 2022","505","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.stub() - create a stub and/or replace a function with stub","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Sat Nov 12 13:02:17 IST 2022","Sat Nov 12 13:02:17 IST 2022","225","","Traversal","","Traversal",".nextAll() - get all next sibling DOM elements",".nextAll() - get all next sibling DOM elements",""
"passed","Sat Nov 12 13:01:24 IST 2022","Sat Nov 12 13:01:25 IST 2022","358","","Misc","","Misc","cy.focused() - get the DOM element that has focus","cy.focused() - get the DOM element that has focus",""
"passed","Sat Nov 12 13:00:44 IST 2022","Sat Nov 12 13:00:44 IST 2022","194","","Connectors .then()","","Connectors .then()","invokes a callback function with the current subject","invokes a callback function with the current subject",""
"passed","Sat Nov 12 13:02:16 IST 2022","Sat Nov 12 13:02:16 IST 2022","201","","Traversal","","Traversal",".closest() - get closest ancestor DOM element",".closest() - get closest ancestor DOM element",""
"passed","Sat Nov 12 13:01:17 IST 2022","Sat Nov 12 13:01:18 IST 2022","690","","Location","","Location","cy.location() - get window.location","cy.location() - get window.location",""
"passed","Sat Nov 12 12:59:50 IST 2022","Sat Nov 12 12:59:51 IST 2022","682","","Actions","","Actions",".submit() - submit a form",".submit() - submit a form",""
"passed","Sat Nov 12 13:01:24 IST 2022","Sat Nov 12 13:01:24 IST 2022","504","","Misc","","Misc","cy.exec() - execute a system command","cy.exec() - execute a system command",""
"passed","Sat Nov 12 13:00:59 IST 2022","Sat Nov 12 13:00:59 IST 2022","235","","Cypress.config()","","Cypress.config()","Get and set configuration options","Get and set configuration options",""
"passed","Sat Nov 12 13:02:19 IST 2022","Sat Nov 12 13:02:19 IST 2022","186","","Traversal","","Traversal",".prev() - get previous sibling DOM element",".prev() - get previous sibling DOM element",""
"passed","Sat Nov 12 13:01:52 IST 2022","Sat Nov 12 13:01:55 IST 2022","2458","","Network Requests","","Network Requests","cy.intercept() - route responses to matching requests","cy.intercept() - route responses to matching requests",""
"passed","Sat Nov 12 13:00:45 IST 2022","Sat Nov 12 13:00:45 IST 2022","200","","Connectors .then()","","Connectors .then()","yields the value yielded by the last Cypress command inside","yields the value yielded by the last Cypress command inside",""
"passed","Sat Nov 12 13:01:06 IST 2022","Sat Nov 12 13:01:06 IST 2022","191","","Files","","Files","cy.readFile() - read file contents","cy.readFile() - read file contents",""
"passed","Sat Nov 12 13:00:59 IST 2022","Sat Nov 12 13:00:59 IST 2022","185","","Cypress.log","","Cypress.log","Control what is printed to the Command Log","Control what is printed to the Command Log",""
"passed","Sat Nov 12 12:59:23 IST 2022","Sat Nov 12 12:59:24 IST 2022","549","","example to-do app","","example to-do app","can add new todo items","can add new todo items",""
"passed","Sat Nov 12 13:02:07 IST 2022","Sat Nov 12 13:02:10 IST 2022","2521","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.spy() retries until assertions pass","cy.spy() retries until assertions pass",""
"passed","Sat Nov 12 13:01:05 IST 2022","Sat Nov 12 13:01:06 IST 2022","317","","Files","","Files","cy.fixture() or require - load a fixture","cy.fixture() or require - load a fixture",""
"passed","Sat Nov 12 13:02:27 IST 2022","Sat Nov 12 13:02:27 IST 2022","218","","Utilities","","Utilities","Cypress.minimatch - test out glob patterns against strings","Cypress.minimatch - test out glob patterns against strings",""
"passed","Sat Nov 12 12:59:57 IST 2022","Sat Nov 12 12:59:58 IST 2022","1266","","Actions","","Actions",".uncheck() - uncheck a checkbox element",".uncheck() - uncheck a checkbox element",""
"passed","Sat Nov 12 13:00:35 IST 2022","Sat Nov 12 13:00:36 IST 2022","188","","Assertions Explicit Assertions","","Assertions Explicit Assertions","assert - assert shape of an object","assert - assert shape of an object",""
"passed","Sat Nov 12 13:02:18 IST 2022","Sat Nov 12 13:02:18 IST 2022","211","","Traversal","","Traversal",".parent() - get parent DOM element from DOM elements",".parent() - get parent DOM element from DOM elements",""
"passed","Sat Nov 12 13:00:58 IST 2022","Sat Nov 12 13:00:58 IST 2022","177","","Cypress.Cookies","","Cypress.Cookies",".preserveOnce() - preserve cookies by key",".preserveOnce() - preserve cookies by key",""
"passed","Sat Nov 12 13:02:16 IST 2022","Sat Nov 12 13:02:16 IST 2022","182","","Traversal","","Traversal",".eq() - get a DOM element at a specific index",".eq() - get a DOM element at a specific index",""
"passed","Sat Nov 12 13:00:45 IST 2022","Sat Nov 12 13:00:45 IST 2022","224","","Connectors .then()","","Connectors .then()","yields the original subject without return","yields the original subject without return",""
"passed","Sat Nov 12 13:00:35 IST 2022","Sat Nov 12 13:00:35 IST 2022","180","","Assertions Explicit Assertions","","Assertions Explicit Assertions","matches unknown text between two elements","matches unknown text between two elements",""
"passed","Sat Nov 12 13:02:55 IST 2022","Sat Nov 12 13:02:56 IST 2022","1448","","Window","","Window","cy.window() - get the global window object","cy.window() - get the global window object",""
"passed","Sat Nov 12 12:59:54 IST 2022","Sat Nov 12 12:59:54 IST 2022","397","","Actions","","Actions",".dblclick() - double click on a DOM element",".dblclick() - double click on a DOM element",""
"passed","Sat Nov 12 13:01:03 IST 2022","Sat Nov 12 13:01:05 IST 2022","1989","","Files","","Files","cy.fixture() - load a fixture","cy.fixture() - load a fixture",""
"passed","Sat Nov 12 12:59:25 IST 2022","Sat Nov 12 12:59:25 IST 2022","415","","example to-do app with a checked task","","example to-do app with a checked task","can delete all completed tasks","can delete all completed tasks",""
"passed","Sat Nov 12 13:02:19 IST 2022","Sat Nov 12 13:02:19 IST 2022","203","","Traversal","","Traversal",".prevAll() - get all previous sibling DOM elements",".prevAll() - get all previous sibling DOM elements",""
"passed","Sat Nov 12 13:01:22 IST 2022","Sat Nov 12 13:01:24 IST 2022","2168","","Misc","","Misc",".end() - end the command chain",".end() - end the command chain",""
"passed","Sat Nov 12 13:01:00 IST 2022","Sat Nov 12 13:01:00 IST 2022","207","","Cypress.spec","","Cypress.spec","Get current spec information","Get current spec information",""
"passed","Sat Nov 12 13:00:05 IST 2022","Sat Nov 12 13:00:07 IST 2022","2344","","Actions","","Actions","cy.scrollTo() - scroll the window or element to a position","cy.scrollTo() - scroll the window or element to a position",""
"passed","Sat Nov 12 13:00:51 IST 2022","Sat Nov 12 13:00:52 IST 2022","295","","Cookies","","Cookies","cy.clearCookies() - clear browser cookies","cy.clearCookies() - clear browser cookies",""
"passed","Sat Nov 12 13:00:59 IST 2022","Sat Nov 12 13:01:00 IST 2022","208","","Cypress.platform","","Cypress.platform","Get underlying OS name","Get underlying OS name",""
"passed","Sat Nov 12 13:00:51 IST 2022","Sat Nov 12 13:00:51 IST 2022","264","","Cookies","","Cookies","cy.clearCookie() - clear a browser cookie","cy.clearCookie() - clear a browser cookie",""
"passed","Sat Nov 12 13:02:18 IST 2022","Sat Nov 12 13:02:18 IST 2022","224","","Traversal","","Traversal",".not() - remove DOM elements from set of DOM elements",".not() - remove DOM elements from set of DOM elements",""
"passed","Sat Nov 12 13:00:44 IST 2022","Sat Nov 12 13:00:44 IST 2022","323","","Connectors","","Connectors",".its() - get properties on the current subject",".its() - get properties on the current subject",""
"passed","Sat Nov 12 13:02:01 IST 2022","Sat Nov 12 13:02:01 IST 2022","196","","Querying","","Querying","cy.root() - query the root DOM element","cy.root() - query the root DOM element",""
"passed","Sat Nov 12 13:00:26 IST 2022","Sat Nov 12 13:00:34 IST 2022","7200","","Assertions Implicit Assertions","","Assertions Implicit Assertions",".should() - make an assertion about the current subject",".should() - make an assertion about the current subject",""
"passed","Sat Nov 12 13:02:01 IST 2022","Sat Nov 12 13:02:02 IST 2022","804","","Querying","","Querying","best practices - selecting elements","best practices - selecting elements",""
"passed","Sat Nov 12 13:02:17 IST 2022","Sat Nov 12 13:02:18 IST 2022","235","","Traversal","","Traversal",".nextUntil() - get next sibling DOM elements until next el",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Sat Nov 12 13:00:42 IST 2022","Sat Nov 12 13:00:44 IST 2022","2079","","Connectors","","Connectors",".each() - iterate over an array of elements",".each() - iterate over an array of elements",""
"passed","Sat Nov 12 12:59:44 IST 2022","Sat Nov 12 12:59:45 IST 2022","609","","Actions","","Actions",".blur() - blur off a DOM element",".blur() - blur off a DOM element",""
"passed","Sat Nov 12 12:59:44 IST 2022","Sat Nov 12 12:59:44 IST 2022","341","","Actions","","Actions",".focus() - focus on a DOM element",".focus() - focus on a DOM element",""
"passed","Sat Nov 12 13:00:35 IST 2022","Sat Nov 12 13:00:35 IST 2022","185","","Assertions Explicit Assertions","","Assertions Explicit Assertions","can throw any error","can throw any error",""
"passed","Sat Nov 12 12:59:58 IST 2022","Sat Nov 12 12:59:59 IST 2022","1376","","Actions","","Actions",".select() - select an option in a <select> element",".select() - select an option in a <select> element",""
"passed","Sat Nov 12 13:00:58 IST 2022","Sat Nov 12 13:00:59 IST 2022","177","","Cypress.arch","","Cypress.arch","Get CPU architecture name of underlying OS","Get CPU architecture name of underlying OS",""
"failed","Sat Nov 12 12:59:45 IST 2022","Sat Nov 12 12:59:50 IST 2022","5275","","Actions","","Actions",".clear() - clears an input or textarea element",".clear() - clears an input or textarea element",""
"passed","Sat Nov 12 13:00:58 IST 2022","Sat Nov 12 13:00:58 IST 2022","218","","Cypress.Cookies","","Cypress.Cookies",".debug() - enable or disable debugging",".debug() - enable or disable debugging",""
"passed","Sat Nov 12 12:59:54 IST 2022","Sat Nov 12 12:59:55 IST 2022","535","","Actions","","Actions",".rightclick() - right click on a DOM element",".rightclick() - right click on a DOM element",""
"passed","Sat Nov 12 13:01:47 IST 2022","Sat Nov 12 13:01:48 IST 2022","1276","","Network Requests","","Network Requests","cy.request() - verify response using BDD syntax","cy.request() - verify response using BDD syntax",""
